Var1,Var2,Var3,Var4,Var5
rov trace:,NaN,NaN,NaN,NaN
,-0.006,-0.001,0.001,0.001
,-0.005,-0.002,0.005,-0.001
,-0.004,-0.004,0.008,-0.001
,-0.002,-0.004,0.007,-0.001
,-0.001,-0.003,0.005,0
,-0.001,-0.001,0.001,0
,-0.001,0.003,-0.002,-0.001
,-0.001,0.005,-0.003,-0.002
,-0.001,0.005,-0.002,-0.004
,0,0.003,-0.001,-0.005
,0,0.001,0,-0.006
,0,0,-0.001,-0.006
,-0.002,0.002,-0.001,-0.005
,-0.003,0.004,-0.002,-0.004
,-0.004,0.006,-0.003,-0.002
,-0.004,0.006,-0.004,-0.001
,-0.003,0.004,-0.005,0
,-0.002,0.001,-0.004,0
,0,-0.003,-0.002,0.001
,0.002,-0.005,0.001,0.002
,0.002,-0.005,0.005,0.004
,0.002,-0.003,0.007,0.006
,0,-0.001,0.008,0.006
,-0.002,0,0.006,0.005
,-0.004,0.001,0.002,0.004
,-0.005,-0.001,-0.001,0.002
,-0.002,-0.002,-0.003,0.003
,0.001,-0.003,-0.003,0.003
,0.005,-0.003,0,0.004
,0.008,-0.002,0.003,0.002
,0.008,-0.002,0.004,0
,0.005,-0.002,0.005,-0.003
,0.002,-0.003,0.004,-0.005
,-0.001,-0.004,0.003,-0.005
,-0.002,-0.004,0.003,-0.004
,-0.002,-0.004,0.004,-0.002
,0,-0.003,0.004,-0.001
,0.002,-0.003,0.003,-0.001
,0.003,-0.003,0.001,-0.001
,0.004,-0.005,-0.002,0
,0.002,-0.005,-0.004,0.001
,-0.001,-0.005,-0.004,0
,-0.004,-0.003,-0.003,-0.002
,-0.006,0,-0.001,-0.005
,-0.007,0.003,0,-0.007
,-0.007,0.004,-0.001,-0.007
,-0.006,0.003,-0.004,-0.004
,-0.005,0.002,-0.006,0
,-0.003,0.001,-0.007,0.002
,0,0.001,-0.006,0.002
,0.002,0.002,-0.004,0
,0.003,0.003,-0.003,-0.002
,0.002,0.004,-0.002,-0.004
,0.001,0.003,-0.003,-0.005
,-0.001,0.001,-0.003,-0.003
,-0.001,-0.001,-0.002,-0.002
,0,-0.002,-0.001,-0.001
,0.003,-0.001,0,-0.001
,0.005,0.001,0,-0.003
,0.005,0.004,-0.002,-0.003
,0.004,0.006,-0.003,-0.003
,0.002,0.006,-0.004,-0.001
,0.001,0.005,-0.003,0.002
,0.003,0.003,-0.001,0.004
,0.005,0.002,0.003,0.005
,0.008,0.002,0.006,0.005
,0.008,0.002,0.008,0.004
,0.007,0.002,0.008,0.004
,0.004,0.001,0.006,0.003
,0.001,-0.001,0.004,0.002
,-0.002,-0.004,0.002,0.001
,-0.003,-0.005,0.001,-0.001
,-0.004,-0.005,0.001,-0.003
,-0.004,-0.005,0.002,-0.004
,-0.003,-0.004,0.003,-0.005
,-0.003,-0.003,0.003,-0.005
,-0.002,-0.002,0.002,-0.004
,-0.001,0,0.001,-0.003
,-0.001,0.002,0,-0.001
,-0.002,0.002,0,0.001
,-0.003,0.001,0,0.003
,-0.005,-0.002,0,0.003
,-0.006,-0.003,0,0.003
,-0.005,-0.003,-0.002,0.003
,-0.003,0,-0.003,0.003
,0,0.004,-0.004,0.003
,0.001,0.006,-0.004,0.002
,0.001,0.004,-0.003,0
,-0.001,0,-0.002,-0.003
,-0.004,-0.004,-0.002,-0.006
,-0.005,-0.007,-0.003,-0.008
,-0.005,-0.006,-0.003,-0.007
,-0.004,-0.002,-0.002,-0.005
,-0.002,0.003,-0.001,-0.003
,-0.001,0.006,0.002,-0.002
,0,0.007,0.003,-0.002
,0,0.005,0.004,-0.002
,0,0.002,0.005,-0.002
,0.001,0,0.005,-0.001
,0.001,0,0.005,0.001
,0.001,0.001,0.004,0.003
,0.001,0.001,0.002,0.004
,0.002,0.001,0.002,0.003
,0.004,0,0.002,0.001
,0.006,-0.001,0.004,0.001
,0.008,-0.002,0.006,0.002
,0.007,-0.003,0.006,0.004
,0.006,-0.003,0.004,0.007
,0.003,-0.003,0.001,0.008
,0.002,-0.002,-0.002,0.006
,0.001,-0.001,-0.003,0.003
,0.001,-0.001,-0.004,0
,0.001,-0.001,-0.004,-0.002
,0.001,-0.004,-0.004,-0.002
,0.001,-0.006,-0.004,0
,0.002,-0.007,-0.004,0.002
,0.003,-0.005,-0.002,0.002
,0.003,0,0.001,0.001
,0.002,0.005,0.003,0
,-0.001,0.008,0.003,0
,-0.004,0.008,0.001,0
,-0.005,0.006,-0.004,0
,-0.004,0.001,-0.008,0
,-0.001,-0.004,-0.011,-0.002
,0.003,-0.007,-0.011,-0.004
,0.004,-0.008,-0.009,-0.005
,0.004,-0.006,-0.006,-0.005
,0.002,-0.003,-0.002,-0.002
,0,0.001,0.002,0.001
,-0.002,0.003,0.004,0.003
,-0.004,0.004,0.005,0.003
,-0.004,0.003,0.005,0.001
,-0.004,0.001,0.003,-0.002
,-0.004,-0.001,0,-0.004
,-0.004,-0.003,-0.002,-0.005
,-0.004,-0.003,-0.003,-0.004
,-0.004,-0.002,-0.002,-0.001
,-0.003,0,0,0.002
,-0.003,0.002,0.003,0.004
,-0.002,0.004,0.006,0.004
,-0.001,0.005,0.008,0.002
,-0.001,0.005,0.008,-0.001
,-0.001,0.004,0.006,-0.002
,0,0.003,0.003,-0.002
,0,0.002,-0.001,0.001
,0.001,0.003,-0.003,0.004
,0.002,0.004,-0.003,0.006
,0.002,0.005,-0.001,0.006
,0.002,0.005,0.001,0.004
,0.003,0.003,0.003,0
,0.003,-0.001,0.002,-0.001
,0.003,-0.004,0,-0.001
,0.003,-0.005,-0.002,0.002
,0.003,-0.004,-0.002,0.004
,0.003,0,-0.001,0.005
,0.002,0.003,0.002,0.002
,0.002,0.004,0.004,-0.002
,0.002,0.003,0.004,-0.005
,0.002,0,0.003,-0.005
,0,-0.003,0.002,-0.003
,-0.001,-0.004,0.001,0.001
,-0.002,-0.002,0.001,0.003
,-0.002,-0.001,0.003,0.002
,0,0,0.005,-0.001
,0.001,-0.002,0.005,-0.005
,0.001,-0.005,0.003,-0.007
,0,-0.007,-0.003,-0.007
,-0.002,-0.007,-0.008,-0.004
,-0.003,-0.005,-0.013,-0.001
,-0.002,-0.002,-0.014,0.001
,-0.001,0.003,-0.011,0.002
,0.001,0.006,-0.008,0.003
,0.001,0.006,-0.004,0.003
,0.001,0.006,-0.002,0.004
,0,0.004,0,0.004
,0,0.003,0.001,0.004
,0,0.001,0.002,0.003
,0.001,-0.001,0.002,0.002
,0.001,-0.003,0.002,0.001
,0,-0.005,0.002,0.001
,-0.001,-0.005,0.002,0.001
,-0.002,-0.003,0.002,0.002
,-0.002,0,0.003,0.002
,-0.002,0.003,0.004,0.001
,-0.001,0.004,0.005,0
,-0.002,0.003,0.004,-0.002
,-0.003,-0.001,0.002,-0.004
,-0.004,-0.003,0,-0.004
,-0.004,-0.004,-0.002,-0.003
,-0.003,-0.003,-0.002,0
,-0.001,0,-0.001,0.004
,0.002,0.003,0,0.006
,0.004,0.004,0.001,0.006
,0.006,0.003,0.001,0.003
,0.006,0.002,0.001,0
,0.004,0,0,-0.003
,0,-0.001,-0.001,-0.003
,-0.004,-0.002,-0.001,-0.002
,-0.006,-0.002,-0.002,0
,-0.006,-0.003,-0.003,0.001
,-0.005,-0.004,-0.003,0
,-0.004,-0.005,-0.003,-0.002
,-0.003,-0.005,-0.002,-0.004
,-0.003,-0.004,-0.001,-0.006
,-0.003,-0.002,-0.001,-0.005
,-0.002,0,0,-0.003
,-0.001,0.001,-0.001,0
,0,0.001,-0.001,0.001
,0.001,0.001,-0.001,0
,0.001,-0.001,-0.002,-0.002
,0,-0.002,-0.004,-0.004
,0,-0.003,-0.005,-0.004
,0,-0.003,-0.004,-0.003
,0.001,-0.001,-0.003,-0.001
,0.001,0.002,0,0.001
,0.001,0.004,0.001,0.001
,-0.001,0.005,0.001,0.001
,-0.003,0.006,0,0
,-0.004,0.006,-0.001,-0.001
,-0.005,0.005,-0.001,-0.001
,-0.003,0.003,0.002,0
,0,0.001,0.005,0.001
,0.004,-0.001,0.006,0.003
,0.007,-0.002,0.005,0.004
,0.006,-0.001,0.004,0.006
,0.003,0.001,0.003,0.006
,-0.001,0.002,0.004,0.005
,-0.003,0.001,0.005,0.003
,-0.002,-0.001,0.006,0.001
,0.002,-0.003,0.004,0
,0.005,-0.004,0,0
,0.007,-0.002,-0.003,0
,0.005,0.001,-0.004,0
,0.001,0.003,-0.002,0
,-0.003,0.004,0.001,-0.001
,-0.004,0.002,0.004,-0.001
,-0.001,0.001,0.004,-0.001
,0.003,0,0.001,-0.001
,0.006,0,-0.003,-0.001
,0.006,0,-0.007,-0.002
,0.003,-0.001,-0.008,-0.003
,0,-0.003,-0.006,-0.003
,-0.003,-0.005,-0.004,-0.002
,-0.003,-0.006,-0.002,-0.002
,-0.002,-0.005,-0.001,-0.001
,-0.002,-0.003,-0.001,0
,-0.002,-0.001,-0.001,0
,-0.004,0,0,-0.001
,-0.005,-0.001,0.002,-0.001
,-0.004,-0.002,0.003,-0.002
,-0.002,-0.004,0.003,-0.004
,0,-0.003,0.001,-0.005
,0.002,-0.002,-0.002,-0.005
,0.002,0.001,-0.005,-0.004
,0.002,0.003,-0.006,-0.001
,0.001,0.004,-0.005,0.002
,0.001,0.005,-0.002,0.004
,0.001,0.005,0.002,0.004
,0.001,0.005,0.005,0.002
,0,0.004,0.007,-0.001
,-0.001,0.004,0.006,-0.003
,-0.003,0.003,0.003,-0.004
,-0.004,0.002,0,-0.002
,-0.003,0.002,-0.002,0.001
,-0.001,0.002,-0.002,0.004
,0.002,0.003,0,0.006
,0.004,0.004,0.003,0.006
,0.004,0.003,0.005,0.005
,0.002,0.003,0.005,0.003
,0,0.002,0.004,0.002
,-0.001,0.001,0.004,0
,-0.002,-0.001,0.005,0
,-0.002,-0.002,0.006,0
,-0.002,-0.004,0.006,-0.001
,-0.002,-0.006,0.005,-0.001
,-0.001,-0.007,0.002,-0.002
,0.001,-0.006,-0.002,-0.002
,0.004,-0.003,-0.004,-0.001
,0.007,0,-0.005,0.001
,0.008,0.002,-0.004,0.003
,0.008,0.002,-0.002,0.005
,0.006,-0.001,-0.001,0.005
,0.005,-0.003,-0.001,0.004
,0.002,-0.005,-0.002,0.001
,0,-0.006,-0.005,-0.002
,-0.002,-0.005,-0.006,-0.003
,-0.005,-0.003,-0.007,-0.004
,-0.007,-0.002,-0.006,-0.002
,-0.009,-0.002,-0.003,0
,-0.009,-0.002,-0.001,0.001
,-0.007,-0.003,0.001,0.002
,-0.004,-0.003,0,0.003
,-0.001,-0.003,-0.002,0.002
,0,-0.002,-0.004,0
,0,-0.001,-0.005,-0.002
,-0.001,0.002,-0.004,-0.003
,-0.002,0.004,-0.001,-0.004
,-0.003,0.006,0.001,-0.003
,-0.003,0.006,0.001,-0.001
,-0.003,0.004,0.001,0.001
,-0.003,0.003,0,0.002
,-0.003,0.001,0,0.001
,-0.001,0.001,0.001,0
,0.002,0.002,0.003,-0.002
,0.005,0.002,0.003,-0.003
,0.007,0.002,0.002,-0.002
,0.006,0.002,-0.002,0.001
,0.004,0.001,-0.004,0.004
,0.003,0.001,-0.005,0.005
,0.003,0.002,-0.003,0.004
,0.004,0.004,0.001,0.001
,0.006,0.005,0.004,-0.002
,0.005,0.005,0.004,-0.003
,0.003,0.003,0.003,-0.001
,0,0,0,0.001
,-0.003,-0.002,-0.002,0.003
,-0.004,-0.003,-0.001,0.003
,-0.003,-0.002,0,0.001
,-0.002,-0.001,0.002,0
,-0.002,-0.001,0.002,-0.001
,-0.002,-0.002,0.002,0
,-0.003,-0.004,0.001,0.001
,-0.003,-0.004,0.001,0
,-0.002,-0.003,0,-0.001
,0,-0.002,0,-0.003
,0.002,-0.001,-0.001,-0.004
,0.003,-0.001,-0.003,-0.004
,0.004,-0.001,-0.005,-0.003
,0.003,0,-0.005,-0.001
,0.003,0.001,-0.003,-0.001
,0.003,0.004,-0.001,-0.002
,0.001,0.005,0,-0.004
,-0.001,0.005,0,-0.005
,-0.002,0.003,-0.002,-0.005
,-0.003,0,-0.003,-0.003
,-0.001,-0.003,-0.003,0
,0,-0.004,-0.003,0.002
,0.001,-0.003,-0.003,0.003
,-0.001,-0.001,-0.002,0.002
,-0.004,0,-0.002,0
,-0.006,0,-0.001,-0.002
,-0.005,0,0.001,-0.003
,-0.002,0,0.003,-0.002
,0.002,0.001,0.005,0.002
,0.004,0.002,0.006,0.006
,0.004,0.003,0.005,0.008
,0.002,0.003,0.003,0.008
,0,0.002,0.001,0.005
,0,0.001,-0.001,0.001
,0,0.001,-0.002,-0.001
,-0.001,0.001,-0.001,-0.002
,-0.002,0,0.001,-0.001
,-0.003,-0.002,0.002,0.001
,-0.004,-0.005,0.004,0.001
,-0.004,-0.006,0.004,0
,-0.002,-0.005,0.003,0
,0.001,-0.002,0.001,0
,0.003,0.001,-0.002,0.001
,0.004,0.002,-0.004,0.002
,0.004,0.001,-0.004,0.003
,0.003,-0.001,-0.003,0.002
,0.002,-0.003,-0.001,0.001
,0.001,-0.002,0.001,0
,0,0.001,0.002,0
,-0.001,0.004,0.003,0.001
,-0.001,0.006,0.003,0.003
,-0.001,0.005,0.003,0.004
,-0.001,0.003,0.003,0.004
,-0.001,-0.001,0.003,0.003
,0.001,-0.004,0.002,0
,0.003,-0.006,0,-0.003
,0.004,-0.006,-0.002,-0.004
,0.004,-0.006,-0.004,-0.005
,0.003,-0.005,-0.005,-0.004
,0,-0.003,-0.005,-0.003
,-0.003,-0.002,-0.005,-0.003
,-0.005,-0.001,-0.003,-0.003
,-0.005,0,-0.002,-0.003
,-0.005,0,-0.001,-0.002
,-0.003,0.001,0,0
,-0.002,0.002,0,0.002
,-0.001,0.003,-0.001,0.003
,-0.001,0.004,-0.001,0.002
,-0.002,0.003,0,0
,-0.004,0.001,0.001,-0.002
,-0.005,-0.001,0.001,-0.002
,-0.004,-0.002,0.001,0
,-0.002,-0.002,0,0.001
,0.002,-0.001,-0.001,0.002
,0.005,-0.001,-0.001,0.001
,0.007,-0.002,-0.001,-0.001
,0.006,-0.004,0,-0.001
,0.003,-0.005,0.002,-0.001
,0.001,-0.004,0.003,0.001
,0.001,-0.002,0.004,0.002
,0.002,0.001,0.004,0.002
,0.003,0.003,0.004,0.001
,0.003,0.002,0.004,-0.001
,0.002,0,0.003,-0.004
,0.001,-0.002,0.001,-0.005
,0.001,-0.002,0,-0.004
,0.002,-0.001,-0.001,-0.003
,0.003,0,-0.001,-0.002
,0.002,0.001,-0.001,-0.001
,0,0.002,-0.002,0
,-0.003,0.003,-0.004,0.001
,-0.006,0.004,-0.006,0.003
,-0.007,0.003,-0.006,0.003
,-0.006,0.002,-0.005,0.003
,-0.005,0,-0.003,0.001
,-0.005,-0.002,-0.001,-0.002
,-0.004,-0.003,-0.002,-0.004
,-0.003,-0.003,-0.005,-0.004
,0,-0.002,-0.009,-0.002
,0.004,0,-0.012,0
,0.007,0.002,-0.013,0.001
,0.007,0.005,-0.014,0.001
,0.005,0.006,-0.014,-0.001
,0,0.005,-0.015,-0.002
,-0.004,0.003,-0.016,-0.003
,-0.005,0.002,-0.018,-0.002
,-0.003,0.001,-0.018,-0.001
,0,0.002,-0.017,0.001
,0.003,0.002,-0.015,0.001
,0.004,0.002,-0.012,0.001
,0.005,0,-0.01,0.001
,0.004,-0.003,-0.008,0
,0.003,-0.005,-0.005,0
,0.002,-0.006,-0.003,0.001
,0.001,-0.005,-0.002,0.002
,0,-0.003,-0.001,0.002
,0,-0.002,0,0.001
,-0.001,-0.002,0,-0.001
,-0.002,-0.002,0.001,-0.003
,-0.003,-0.002,0.001,-0.004
,-0.004,-0.001,0.001,-0.005
,-0.004,0,0.001,-0.005
,-0.004,-0.001,0.001,-0.005
,-0.003,-0.002,0.002,-0.004
,-0.002,-0.003,0.005,-0.002
,0,-0.003,0.007,-0.001
,0.002,-0.001,0.009,0
,0.002,0.002,0.009,0.001
,0.002,0.004,0.008,0.001
,0,0.003,0.007,0
,-0.003,0,0.006,-0.002
,-0.006,-0.004,0.005,-0.004
,-0.007,-0.008,0.004,-0.006
,-0.006,-0.008,0.002,-0.007
,-0.005,-0.007,0,-0.007
,-0.002,-0.005,-0.001,-0.007
,-0.001,-0.003,0,-0.007
,-0.001,-0.003,0.003,-0.007
,-0.001,-0.003,0.005,-0.007
,-0.002,-0.002,0.006,-0.007
,-0.002,-0.002,0.005,-0.006
,-0.002,-0.001,0.002,-0.005
,-0.002,-0.001,-0.001,-0.003
,-0.003,-0.002,-0.003,-0.002
,-0.003,-0.003,-0.003,-0.002
,-0.003,-0.003,-0.002,-0.004
,-0.002,-0.003,0,-0.006
,0,-0.003,0.001,-0.008
,0.003,-0.003,0,-0.008
,0.004,-0.004,-0.001,-0.006
,0.004,-0.004,-0.003,-0.004
,0.002,-0.003,-0.003,-0.003
,0,0,0,-0.002
,-0.001,0.003,0.004,-0.001
,-0.001,0.005,0.007,0
,-0.001,0.006,0.008,0.001
,-0.002,0.006,0.008,0.001
,-0.004,0.004,0.007,0
,-0.006,0.002,0.006,-0.002
,-0.008,-0.001,0.005,-0.006
,-0.01,-0.003,0.005,-0.01
,-0.012,-0.006,0.006,-0.012
,-0.012,-0.008,0.006,-0.012
,-0.011,-0.007,0.007,-0.009
,-0.008,-0.005,0.006,-0.004
,-0.005,-0.002,0.006,0.002
,-0.003,0,0.006,0.005
,-0.001,0.001,0.006,0.005
,-0.001,0.001,0.005,0.002
,0,0,0.002,-0.001
,0.001,0,-0.001,-0.004
,0.002,-0.001,-0.004,-0.004
,0.003,-0.001,-0.005,-0.002
,0.003,-0.001,-0.004,0
,0.003,-0.001,-0.003,0.003
,0.003,-0.001,-0.003,0.004
,0.004,-0.003,-0.005,0.004
,0.006,-0.005,-0.008,0.003
,0.007,-0.007,-0.011,0.004
,0.007,-0.011,-0.013,0.005
,0.005,-0.014,-0.015,0.007
,0.002,-0.017,-0.016,0.009
,0,-0.02,-0.019,0.009
,-0.001,-0.024,-0.022,0.006
,-0.001,-0.028,-0.027,0.002
,-0.002,-0.034,-0.033,-0.003
,-0.004,-0.042,-0.041,-0.006
,-0.007,-0.051,-0.053,-0.008
,-0.009,-0.063,-0.066,-0.008
,-0.01,-0.076,-0.082,-0.008
,-0.009,-0.092,-0.099,-0.008
,-0.008,-0.11,-0.115,-0.008
,-0.009,-0.13,-0.131,-0.009
,-0.012,-0.154,-0.147,-0.01
,-0.017,-0.178,-0.163,-0.013
,-0.023,-0.2,-0.179,-0.018
,-0.029,-0.218,-0.197,-0.024
,-0.034,-0.233,-0.217,-0.03
,-0.04,-0.245,-0.237,-0.036
,-0.047,-0.251,-0.247,-0.043
,-0.058,-0.231,-0.227,-0.051
,-0.071,-0.153,-0.14,-0.063
,-0.088,0.026,0.051,-0.078
,-0.109,0.331,0.366,-0.099
,-0.132,0.743,0.778,-0.126
,-0.159,1.186,1.201,-0.158
,-0.188,1.541,1.511,-0.196
,-0.218,1.691,1.594,-0.238
,-0.249,1.572,1.41,-0.284
,-0.279,1.211,1.011,-0.329
,-0.305,0.707,0.518,-0.37
,-0.318,0.192,0.066,-0.391
,-0.297,-0.22,-0.251,-0.363
,-0.208,-0.454,-0.39,-0.243
,-0.01,-0.47,-0.339,0.013
,0.319,-0.253,-0.096,0.418
,0.759,0.182,0.328,0.927
,1.236,0.762,0.873,1.44
,1.638,1.341,1.407,1.831
,1.859,1.714,1.734,2.008
,1.838,1.685,1.663,1.95
,1.583,1.154,1.101,1.702
,1.158,0.181,0.117,1.338
,0.65,-1.012,-1.061,0.916
,0.153,-2.117,-2.127,0.473
,-0.25,-2.861,-2.815,0.052
,-0.485,-3.104,-3.005,-0.281
,-0.494,-2.883,-2.751,-0.446
,-0.258,-2.37,-2.233,-0.387
,0.176,-1.779,-1.67,-0.129
,0.681,-1.278,-1.217,0.213
,1.072,-0.935,-0.926,0.457
,1.155,-0.723,-0.756,0.43
,0.807,-0.573,-0.623,0.041
,0.038,-0.419,-0.461,-0.667
,-0.99,-0.236,-0.258,-1.527
,-2.014,-0.04,-0.042,-2.304
,-2.764,0.138,0.142,-2.794
,-3.067,0.272,0.268,-2.897
,-2.91,0.361,0.341,-2.646
,-2.424,0.421,0.388,-2.173
,-1.812,0.47,0.436,-1.632
,-1.253,0.518,0.492,-1.138
,-0.839,0.562,0.549,-0.741
,-0.568,0.595,0.591,-0.432
,-0.382,0.609,0.607,-0.183
,-0.223,0.604,0.597,0.025
,-0.063,0.586,0.571,0.194
,0.097,0.56,0.54,0.32
,0.237,0.532,0.511,0.404
,0.346,0.502,0.484,0.46
,0.424,0.469,0.458,0.504
,0.481,0.435,0.429,0.548
,0.529,0.399,0.396,0.591
,0.569,0.364,0.359,0.623
,0.598,0.329,0.319,0.635
,0.615,0.294,0.279,0.627
,0.617,0.256,0.24,0.608
,0.608,0.218,0.205,0.589
,0.594,0.18,0.175,0.575
,0.575,0.147,0.148,0.562
,0.551,0.121,0.123,0.543
,0.52,0.1,0.1,0.51
,0.481,0.082,0.078,0.466
,0.438,0.065,0.057,0.418
,0.395,0.047,0.035,0.373
,0.353,0.027,0.014,0.335
,0.313,0.008,-0.007,0.302
,0.275,-0.01,-0.028,0.269
,0.236,-0.027,-0.05,0.232
,0.198,-0.041,-0.072,0.191
,0.164,-0.053,-0.092,0.15
,0.134,-0.065,-0.11,0.114
,0.111,-0.074,-0.125,0.087
,0.092,-0.083,-0.136,0.067
,0.076,-0.089,-0.145,0.053
,0.06,-0.093,-0.152,0.04
,0.042,-0.096,-0.157,0.025
,0.023,-0.098,-0.159,0.008
,0.004,-0.101,-0.159,-0.01
,-0.014,-0.104,-0.157,-0.026
,-0.03,-0.105,-0.154,-0.039
,-0.044,-0.104,-0.15,-0.05
,-0.055,-0.102,-0.146,-0.058
,-0.064,-0.099,-0.143,-0.065
,-0.071,-0.097,-0.138,-0.071
,-0.078,-0.096,-0.133,-0.078
,-0.084,-0.094,-0.127,-0.085
,-0.089,-0.091,-0.12,-0.091
,-0.094,-0.085,-0.113,-0.095
,-0.098,-0.077,-0.105,-0.097
,-0.101,-0.068,-0.095,-0.097
,-0.102,-0.06,-0.085,-0.097
,-0.102,-0.054,-0.073,-0.096
,-0.101,-0.05,-0.062,-0.094
,-0.1,-0.048,-0.053,-0.089
,-0.099,-0.047,-0.046,-0.084
,-0.098,-0.045,-0.042,-0.079
,-0.097,-0.042,-0.039,-0.076
,-0.094,-0.038,-0.036,-0.075
,-0.089,-0.035,-0.031,-0.076
,-0.084,-0.031,-0.024,-0.077
,-0.078,-0.026,-0.015,-0.075
,-0.072,-0.02,-0.007,-0.07
,-0.065,-0.013,0,-0.062
,-0.059,-0.006,0.006,-0.053
,-0.052,-0.001,0.009,-0.043
,-0.045,0.003,0.012,-0.035
,-0.039,0.004,0.016,-0.03
,-0.035,0.003,0.019,-0.026
,-0.031,0.003,0.023,-0.024
,-0.028,0.004,0.028,-0.023
,-0.026,0.007,0.032,-0.021
,-0.023,0.011,0.036,-0.019
,-0.019,0.014,0.039,-0.015
,-0.014,0.015,0.042,-0.009
,-0.009,0.014,0.044,-0.003
,-0.002,0.012,0.044,0.003
,0.004,0.01,0.042,0.008
,0.008,0.009,0.038,0.012
,0.009,0.009,0.033,0.014
,0.009,0.009,0.03,0.015
,0.007,0.008,0.028,0.016
,0.007,0.006,0.029,0.016
,0.008,0.004,0.03,0.017
,0.01,0.003,0.029,0.017
,0.013,0.003,0.028,0.018
,0.016,0.003,0.025,0.019
,0.016,0.003,0.022,0.019
,0.016,0.001,0.021,0.019
,0.015,-0.001,0.021,0.017
,0.015,-0.004,0.022,0.015
,0.016,-0.007,0.02,0.013
,0.018,-0.008,0.017,0.012
,0.018,-0.009,0.014,0.011
,0.017,-0.011,0.011,0.01
,0.014,-0.016,0.011,0.008
,0.01,-0.021,0.012,0.005
,0.007,-0.027,0.013,0.001
,0.004,-0.032,0.012,-0.001
,0.003,-0.036,0.009,-0.002
,0.002,-0.038,0.006,0
,0.001,-0.039,0.005,0.002
,0,-0.038,0.008,0.003
,0,-0.036,0.012,0.003
,0,-0.034,0.015,0.001
,0,-0.032,0.017,-0.001
,0.002,-0.029,0.018,-0.001
,0.003,-0.026,0.017,0
,0.004,-0.023,0.017,0.002
,0.004,-0.02,0.017,0.004
,0.002,-0.019,0.018,0.004
,0.001,-0.018,0.018,0.003
,0,-0.018,0.017,0.001
,0,-0.018,0.014,0.001
,0.002,-0.017,0.011,0.002
,0.006,-0.014,0.009,0.004
,0.009,-0.012,0.009,0.007
,0.01,-0.009,0.011,0.008
,0.011,-0.008,0.013,0.009
,0.012,-0.007,0.016,0.009
,0.012,-0.005,0.017,0.008
,0.013,-0.002,0.016,0.008
,0.013,0.002,0.013,0.007
,0.012,0.005,0.009,0.006
,0.01,0.006,0.005,0.004
,0.008,0.004,0.001,0.001
,0.008,0,-0.001,0
,0.008,-0.004,-0.002,0
,0.008,-0.004,-0.002,0.001
,0.006,-0.002,-0.002,0.001
,0.003,0.003,-0.001,0.001
,-0.001,0.006,-0.002,0
,-0.003,0.008,-0.003,-0.001
,-0.002,0.007,-0.004,-0.002
,0,0.007,-0.005,-0.003
,0.001,0.008,-0.005,-0.003
,0,0.011,-0.005,-0.003
,-0.005,0.014,-0.005,-0.004
,-0.01,0.017,-0.004,-0.004
,-0.013,0.018,-0.004,-0.004
,-0.013,0.017,-0.003,-0.004
,-0.01,0.017,-0.002,-0.004
,-0.008,0.017,-0.001,-0.006
,-0.006,0.019,0,-0.008
,-0.007,0.021,0.002,-0.01
,-0.009,0.023,0.004,-0.011
,-0.009,0.025,0.007,-0.009
,-0.007,0.026,0.009,-0.006
,-0.002,0.027,0.01,-0.003
,0.004,0.028,0.012,-0.001
,0.007,0.027,0.012,0
,0.007,0.026,0.013,0.001
,0.004,0.024,0.012,0.002
,-0.001,0.022,0.011,0.005
,-0.004,0.021,0.009,0.008
,-0.006,0.02,0.009,0.009
,-0.004,0.018,0.01,0.009
,0,0.015,0.013,0.006
,0.003,0.013,0.014,0.002
,0.006,0.012,0.014,-0.002
,0.006,0.013,0.012,-0.002
,0.006,0.015,0.01,0.001
,0.005,0.017,0.007,0.005
,0.005,0.015,0.006,0.009
,0.006,0.01,0.004,0.01
,0.006,0.002,0.002,0.009
,0.004,-0.005,-0.001,0.007
,0.001,-0.009,-0.003,0.005
,-0.004,-0.009,-0.004,0.005
,-0.008,-0.008,-0.003,0.006
,-0.01,-0.006,0,0.007
,-0.012,-0.005,0.002,0.008
,-0.014,-0.006,0.003,0.008
,-0.018,-0.008,0.002,0.006
,-0.024,-0.01,0.001,0.005
,-0.031,-0.011,0,0.003
,-0.038,-0.01,-0.001,0.001
,-0.043,-0.009,-0.002,-0.001
,-0.046,-0.008,-0.003,-0.005
,-0.047,-0.009,-0.005,-0.008
,-0.047,-0.01,-0.007,-0.01
,-0.046,-0.012,-0.008,-0.011
,-0.045,-0.012,-0.009,-0.01
,-0.043,-0.009,-0.01,-0.009
,-0.04,-0.005,-0.01,-0.008
,-0.036,-0.001,-0.011,-0.008
,-0.032,0.002,-0.014,-0.008
,-0.027,0.002,-0.016,-0.007
,-0.023,0,-0.018,-0.005
,-0.018,-0.002,-0.019,-0.002
,-0.015,-0.003,-0.02,0
,-0.013,-0.003,-0.019,0.002
,-0.011,-0.001,-0.019,0.002
,-0.01,0,-0.018,0.002
,-0.009,0.001,-0.017,0
,-0.007,-0.001,-0.017,-0.001
,-0.005,-0.002,-0.017,-0.001
,-0.004,-0.004,-0.018,-0.001
,-0.003,-0.004,-0.02,0.001
,-0.004,-0.004,-0.02,0.003
,-0.006,-0.003,-0.02,0.004
,-0.008,-0.002,-0.018,0.005
,-0.008,-0.002,-0.015,0.004
,-0.004,-0.003,-0.014,0.002
